"","garrett_67","garrett_53","garrett_47","garrett_50","garrett_60","garrett_76","garrett_35","garrett_34","garrett_95","garrett_49","garrett_39","garrett_85","25617X30","25617X31","25617X32","25617X37","25617X38","25617X39","25617X40","25617X41","25617X42"
"Lysinibacillus",0.00268485206465124,0,0,0,0.0058503480957117,0,0.00273920070123538,0,0.00216459586995108,0,0.00204821498064437,0.0226449275362319,0.00149521531100478,0.00149622203935064,0,0.00115867438821992,0.00216336793119528,0.00115956610820179,0.00074079927302898,0.00360026452469876,0.000589407174264125
"Heyndrickxia",0.00134242603232562,0,0.00341892030496769,0,0,0,0,0,0,0,0.00136547665376291,0,0,0,0.0118308192842354,0.000551749708676154,0.000240374214577254,0,9.8773236403864e-05,0.000189487606563093,0
"Fervidibacillus",0.00134242603232562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Niallia",0.00134242603232562,0.00322071564301588,0,0,0,0,0.00182613380082359,0,0.00216459586995108,0,0.00204821498064437,0.0113224637681159,0.00149521531100478,0.00299244407870128,0,0.000551749708676154,0.000480748429154508,0.000445986964692996,0.000839572509432844,0.000378975213126186,0
"Psychrobacillus",0.00134242603232562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000275874854338077,0.000240374214577254,0.000445986964692996,4.9386618201932e-05,0,0
"Sutcliffiella",0,0,0,0,0,0,0,0,0,0,0.000682738326881456,0,0,0,0,0.000220699883470462,0.000480748429154508,0,0.00024693309100966,0.00151590085250474,0
"Shouchella",0,0,0,0,0,0,0.000456533450205897,0,0,0,0.00136547665376291,0,0.00149521531100478,0,0,0.000165524912602846,0.000240374214577254,0,9.8773236403864e-05,0,0
"Salicibibacter",0,0,0,0,0,0,0,0,0,0,0.00136547665376291,0,0.0104665071770335,0,0,0.000165524912602846,0,0,0,0,0
"Fictibacillus",0.00402727809697686,0,0,0,0,0,0,0,0,0,0,0.0113224637681159,0.00299043062200957,0,0,0.000551749708676154,0,0,9.8773236403864e-05,0.000757950426252371,0
"Allobacillus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000189487606563093,0
"Domibacillus",0,0,0,0,0,0,0.000456533450205897,0,0,0,0.00273095330752583,0,0.00149521531100478,0,0,0,0.000360561321865881,0.000178394785877198,4.9386618201932e-05,0,0
"Metabacillus",0.00134242603232562,0.00322071564301588,0,0,0,0,0,0,0,0,0.000682738326881456,0,0,0.00448866611805192,0,0.000220699883470462,0.000120187107288627,0.000535184357631595,0,0.000189487606563093,0
"Salimicrobium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000220699883470462,0,8.91973929385992e-05,0,0,0
"Pradoshia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000148159854605796,0,0
"Radiobacillus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.91973929385992e-05,0,0,0
"Siminovitchia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000110349941735231,0,0,0,0.000189487606563093,0
"Halalkalibacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000120187107288627,8.91973929385992e-05,0,0,0
"Anaerobacillus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.51749708676154e-05,0.000120187107288627,0,0,0,0
"Anoxybacillus",0,0,0,0.00847026935456547,0,0,0.000456533450205897,0,0.00216459586995108,0,0.00136547665376291,0,0,0.0104735542754545,0.0177462289263531,0.000165524912602846,0.000120187107288627,0.000356789571754397,0.00049386618201932,0.000189487606563093,0.000589407174264125
"Pontibacillus",0,0,0,0,0,0,0.000913066900411793,0,0,0,0.000682738326881456,0,0,0,0,0.000165524912602846,0.000120187107288627,8.91973929385992e-05,0.000345706327413524,0.000189487606563093,0
"Salipaludibacillus",0,0,0,0,0,0,0.000456533450205897,0,0,0,0,0,0,0,0,0.000220699883470462,0,0,0,0,0
"Caldalkalibacillus",0.00134242603232562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000165524912602846,0,0,0,0,0
"Staphylococcus",0.00134242603232562,0.0161035782150794,0.0136756812198708,0.080467558868372,0.0234013923828468,0,0.0100437359045297,0.102986611740474,0.00865838347980432,0.884955752212389,0.0157029815182735,0.181159420289855,0.112141148325359,0.282785965437271,0.991817016661737,0.00435882269854162,0.00817272329562663,0.0141823854772373,0.00459295549277968,0.0176223474103676,0.0648347891690538
"Mammaliicoccus",0,0.00322071564301588,0,0,0,0,0.000456533450205897,0,0,0,0.00136547665376291,0.0226449275362319,0.00149521531100478,0.00598488815740256,0,0.000220699883470462,0.000721122643731762,0.000445986964692996,0.000345706327413524,0.00132641324594165,0.00117881434852825
