"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Chromobacterium",17.4474849969225,-0.323090158741254,0.521097883081184,-0.620018175531368,0.535245820818579,0.830257040772679
"Chitinimonas",4.146009464667,-1.07924122139493,0.805775491785062,-1.33938203928745,0.180446333396135,0.502331625617153
"Silvimonas",1.88892402638981,-0.418914155858989,0.956980022934782,-0.437745977783632,0.661570435888112,0.882711098574133
"Jeongeupia",3.7953221687798,-0.109593597511786,0.795344628628744,-0.137793848813358,0.890403345921321,0.970933144935788
"Thauera",13.9073910776479,-0.0461150196183413,0.695372123733644,-0.0663170380928374,0.947125418648573,0.985129713141437
"Azoarcus",8.59164877085475,0.0761500438152233,0.612790262797599,0.124267711871876,0.901103311299686,0.973982293412816
"Nitrogeniibacter",5.62381337534104,-0.104858288444262,0.626087885710121,-0.167481739924307,0.866991014028297,0.963166082555875
"Parazoarcus",2.75473847093483,0.410176088661979,0.674532018517592,0.608089871794991,0.543127869251941,0.833948870153849
"Pseudazoarcus",2.14008020707812,-0.958941543964122,1.19522393848915,-0.802311192977184,0.422372969366202,0.731056640289625
"Propionivibrio",2.71794078039886,-0.456185750115949,0.850773035660236,-0.536201467365417,0.591819319499632,0.854501310875638
"Aromatoleum",3.96178483775348,-0.115108779635255,0.776489272850155,-0.148242588352497,0.882151322455552,0.966706316043064
"Azospira",9.03728553808918,-0.0653581113513856,0.719874689288726,-0.0907909561537201,0.927658696315646,0.980924204632642
"Oryzomicrobium",2.13028567164641,-1.48144846768584,1.08501820217928,-1.36536738711878,0.172137608796711,0.496270668042374
"Dechloromonas",9.33357235293583,-0.526200237968466,0.544739328662841,-0.965967041998082,0.334060673121538,0.659372619793618
"Sideroxydans",2.4557311412059,0.356907523789589,0.771985352899907,0.46232421696719,0.643848835687298,0.874678123769813
"Sideroxyarcus",2.02727149229049,-1.2554826578386,1.32271957156536,-0.949167673048655,0.34253534021587,0.661629707110178
"Nitrosomonas",4.01771122150506,0.506779402310892,0.526297164578291,0.962914939351729,0.33559021177055,0.659372619793618
"Thiobacillus",6.49417463378877,-0.069628046702936,0.680093081766375,-0.102380172023062,0.918454921398306,0.980065528357328
"Methylophilus",1.99458558147548,-1.41806683950039,0.993868395352823,-1.42681550810053,0.153633079890961,0.463956009791723
"Sulfuriferula",3.03256140511087,0.609881772831967,0.781887311072568,0.780012367760964,0.435383595418062,0.747478955887644
"Usitatibacter",5.51012475500084,0.381278053567571,0.839919532930055,0.453945930079141,0.649867744175244,0.881725929117562
